fqn,cmos_item,image_link
SHAPE/Fur & Fur Trim,T91UM,http://www.neimanmarcus.com/product_assets/T/9/1/U/M/NMT91UM_mk.jpg
SHAPE/Puffer,T92FA,http://www.neimanmarcus.com/product_assets/T/9/2/F/A/NMT92FA_mk.jpg
SHAPE/Trench,T92K3,http://www.neimanmarcus.com/product_assets/T/9/2/K/3/NMT92K3_mk.jpg
SHAPE/Fur & Fur Trim,T942F,http://www.neimanmarcus.com/product_assets/T/9/4/2/F/NMT942F_mk.jpg
SHAPE/Fur & Fur Trim,B2TYJ,http://www.neimanmarcus.com/product_assets/B/2/T/Y/J/NMB2TYJ_mk.jpg
SHAPE/Fur & Fur Trim,T951A,http://www.neimanmarcus.com/product_assets/T/9/5/1/A/NMT951A_mk.jpg
SHAPE/Puffer,T95G9,http://www.neimanmarcus.com/product_assets/T/9/5/G/9/NMT95G9_mk.jpg
SHAPE/Puffer,T95GT,http://www.neimanmarcus.com/product_assets/T/9/5/G/T/NMT95GT_mk.jpg
SHAPE/Puffer,T95GV,http://www.neimanmarcus.com/product_assets/T/9/5/G/V/NMT95GV_mk.jpg
SHAPE/Puffer,T95H1,http://www.neimanmarcus.com/product_assets/T/9/5/H/1/NMT95H1_mk.jpg
SHAPE/Puffer,T95H3,http://www.neimanmarcus.com/product_assets/T/9/5/H/3/NMT95H3_mk.jpg
SHAPE/Puffer,T95HG,http://www.neimanmarcus.com/product_assets/T/9/5/H/G/NMT95HG_mk.jpg
SHAPE/Puffer,T95HJ,http://www.neimanmarcus.com/product_assets/T/9/5/H/J/NMT95HJ_mk.jpg
SHAPE/Puffer,T95HK,http://www.neimanmarcus.com/product_assets/T/9/5/H/K/NMT95HK_mk.jpg
SHAPE/Puffer,T95HQ,http://www.neimanmarcus.com/product_assets/T/9/5/H/Q/NMT95HQ_mk.jpg
SHAPE/Puffer,T95HR,http://www.neimanmarcus.com/product_assets/T/9/5/H/R/NMT95HR_mk.jpg
SHAPE/Puffer,T95HW,http://www.neimanmarcus.com/product_assets/T/9/5/H/W/NMT95HW_mk.jpg
SHAPE/Puffer,T95J2,http://www.neimanmarcus.com/product_assets/T/9/5/J/2/NMT95J2_mk.jpg
SHAPE/Puffer,T978H,http://www.neimanmarcus.com/product_assets/T/9/7/8/H/NMT978H_mk.jpg
SHAPE/Fur & Fur Trim,T990L,http://www.neimanmarcus.com/product_assets/T/9/9/0/L/NMT990L_mk.jpg
SHAPE/Trench,T98D6,http://www.neimanmarcus.com/product_assets/T/9/8/D/6/NMT98D6_mk.jpg
SHAPE/Puffer,T94EF,http://www.neimanmarcus.com/product_assets/T/9/4/E/F/NMT94EF_mk.jpg
SHAPE/Fur & Fur Trim,T9AAY,http://www.neimanmarcus.com/product_assets/T/9/A/A/Y/NMT9AAY_mk.jpg
SHAPE/Trench,T9DGD,http://www.neimanmarcus.com/product_assets/T/9/D/G/D/NMT9DGD_mk.jpg
SHAPE/Trench,T9DGL,http://www.neimanmarcus.com/product_assets/T/9/D/G/L/NMT9DGL_mk.jpg
SHAPE/Trench,B2W2P,http://www.neimanmarcus.com/product_assets/B/2/W/2/P/NMB2W2P_mk.jpg
SHAPE/Trench,B2WF6,http://www.neimanmarcus.com/product_assets/B/2/W/F/6/NMB2WF6_mk.jpg
SHAPE/Trench,B2WF8,http://www.neimanmarcus.com/product_assets/B/2/W/F/8/NMB2WF8_mk.jpg
SHAPE/Trench,B2WFC,http://www.neimanmarcus.com/product_assets/B/2/W/F/C/NMB2WFC_mk.jpg
SHAPE/Trench,B2WFE,http://www.neimanmarcus.com/product_assets/B/2/W/F/E/NMB2WFE_mk.jpg
SHAPE/Trench,T9DGN,http://www.neimanmarcus.com/product_assets/T/9/D/G/N/NMT9DGN_mk.jpg
SHAPE/Trench,B2XMF,http://www.neimanmarcus.com/product_assets/B/2/X/M/F/NMB2XMF_mk.jpg
SHAPE/Quilted,B2YJY,http://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMB2YJY_01_m?&amp;wid=400&amp;height=500
SHAPE/Trench,TA9TW,http://www.neimanmarcus.com/product_assets/T/A/9/T/W/NMTA9TW_mk.jpg
SHAPE/Trench,TA9UK,http://www.neimanmarcus.com/product_assets/T/A/9/U/K/NMTA9UK_mk.jpg
SHAPE/Trench,B2ZR0,http://www.neimanmarcus.com/product_assets/B/2/Z/R/0/NMB2ZR0_mk.jpg
SHAPE/Quilted,B2YUB,http://www.neimanmarcus.com/product_assets/B/2/Y/U/B/NMB2YUB_mk.jpg
SHAPE/Quilted,B31B4,http://neimanmarcus.scene7.com/is/image/NeimanMarcus/NMB31B4_41_m?&amp;wid=400&amp;height=500
SHAPE/Quilted,B2XVX,http://www.neimanmarcus.com/product_assets/B/2/X/V/X/NMB2XVX_mk.jpg
SHAPE/Quilted,B2XW3,http://www.neimanmarcus.com/product_assets/B/2/X/W/3/NMB2XW3_mk.jpg
SHAPE/Quilted,B2Z3Z,http://www.neimanmarcus.com/product_assets/B/2/Z/3/Z/NMB2Z3Z_mk.jpg
SHAPE/Quilted,B2YJV,http://www.neimanmarcus.com/product_assets/B/2/Y/J/V/NMB2YJV_mk.jpg
